English,Portugues
ahead,à frente
lose,perder
king,rei
plan,plano
dinner,jantar
sighs,suspiros
sort,ordenar
leaving,partida
shouldn,deveria
running,corrida
boss,chefe
alright,tudo bem
promise,promessa
taken,levado
safe,seguro
ma,MA
book,livro
sent,enviei
white,branco
hour,hora
anybody,qualquer pessoa
small,pequena
perfect,perfeito
cause,causa
lives,vidas
special,especial
parents,pais
s,s
john,João
himself,ele mesmo
perhaps,possivelmente
sounds,sons
serious,sério
sick,doente
company,companhia
ha,ha
scared,assustada
uncle,tio
poor,pobre
red,vermelho
past,passado
earth,terra
possible,possível
shoot,atirar
touch,toque
sound,som
top,principal
ass,bunda
laughs,ri
cannot,não podes
asking,Perguntando
win,vencer
glad,alegre
control,ao controle
hmm,Hmm
human,humano
drive,dirigir
hair,cabelo
jack,Jack
bitch,cadela
luck,sorte
murder,assassinato
happens,acontece
air,ar
ten,dez
daddy,papai
finally,finalmente
chuckles,risadas
fast,velozes
cold,frio
seem,parecer
laughing,rindo
words,palavras
hospital,hospital
street,rua
hang,pendurar
dance,dança
meeting,encontro
till,até
others,outras
catch,captura
follow,Segue
sense,senso
sex,sexo
lie,mentira
evening,tarde
master,mestre
known,conhecido
dream,Sonhe
write,Escreva
million,milhão
voice,voz
sweet,doce
rather,em vez de
felt,sentido
sign,o sinal
lucky,afortunado
somewhere,algum lugar
bet,aposta
o,o
jesus,Jesus
longer,mais tempo
calling,chamando
worked,trabalhado
quiet,quieto
looked,visto
less,menos
pull,puxar
beat,bater
careful,cuidadoso
coffee,café
return,Retorna
secret,segredo
weeks,semanas
weren,não estava
date,encontro
seeing,vendo
fall,cair
given,dado
ooh,ooh
fault,falhar
straight,Em linha reta
takes,leva
song,música
future,futuro
gentlemen,cavalheiros
loved,amado
changed,mudado
road,estrada
calm,calma
wonderful,Maravilhoso
mad,louco
turned,virado
drop,solta
ladies,senhoras
learn,aprender
step,Passo
absolutely,absolutamente
early,cedo
explain,explicar
clean,limpar \ limpo
piece,peça
yesterday,ontem
throw,jogar
picture,cenário
land,terra
feet,pés
wonder,maravilha
questions,perguntas
speaking,Falando
worth,que vale a pena
darling,querida
dude,parceiro
giving,dando
president,Presidente
eye,olho
quick,rápido
moving,movendo
figure,figura
state,Estado
strong,Forte
sam,Sam
none,Nenhum
amazing,incrível
ones,uns
works,funciona
act,Aja
needed,necessário
weird,estranhas
law,lei
worried,preocupado
report,relatório
goodbye,adeus
missing,ausência de
choice,escolha
happening,acontecendo
chief,chefe
wedding,Casamento
strange,estranho
general,em geral
pain,dor
am,sou
kidding,brincando
decided,decidiu
ya,ya
pass,passar
tired,cansado
class,classe
officer,Policial
kept,manteve
wake,acordar
worse,pior
busy,ocupado
eh,Eh
mistake,erro
kiss,beijo
court,quadra
building,prédio
finish,Finalizar
during,no decorrer
age,era
ship,barco
caught,capturado
marry,casar
meant,significou
sell,vender
dark,Sombrio
watching,assistindo
system,sistema
suppose,suponha
evidence,evidência
movie,filme
ride,andar de
t,t
completely,completamente
mouth,boca
totally,totalmente
birthday,aniversário
tv,televisão
forgive,perdoar
born,nascermos
imagine,Imagine
information,em formação
instead,em vez de
definitely,com certeza
security,segurança
certainly,certamente
film,filme
month,mês
lying,mentindo
unless,a não ser que
train,Comboio
seven,Sete
wear,desgaste
clothes,roupas
michael,Michael
hotel,hotel
christmas,Natal
attack,ataque
hasn,Hasn
round,volta
expect,esperar
sing,cantar
terrible,Terrível
george,George
bag,saco
history,história
blue,azul
near,perto
broke,quebrou
station,estação
seriously,a sério
forever,para todo sempre
david,David
frank,Frank
except,exceto
thinks,pensa
message,mensagem
entire,inteira
joe,Joe
table,tabela
talked,falou
across,entre
rock,Rocha
lovely,amável
handle,lidar
middle,meio
buddy,camarada
paid,pago
protect,proteger
using,usando
floor,piso
ran,correu
swear,jurar
spend,gasta
situation,situação
ring,anel
anywhere,qualquer lugar
dangerous,perigoso
bill,conta
york,Iorque
army,exército
lead,liderar
bought,comprou
finished,finalizado
fair,feira
sun,Sol
letter,carta
fool,idiota
attention,atenção
club,clube
simple,simples
interesting,interessante
space,espaço
test,teste
box,caixa
group,grupo
single,solteiro
sitting,sentado
marriage,casado
join,Junte-se
fear,temer
d,d
peace,Paz
forgot,esquecido
force,força
short,baixo
normal,normal
charlie,Charlie
present,presente
enjoy,aproveitar
mike,Mike
crime,crime
horse,cavalo
ground,terra
american,americano
count,contar
area,área
charge,cobrar
honor,honra
lunch,almoço
miles,milhas
radio,rádio
idiot,idiota
ball,bola
surprise,surpresa
paper,papel
key,chave
boat,barco
quickly,rapidamente
gold,ouro
bar,Barra
fish,peixe
mark,marca
tom,Tom
wearing,vestindo
crying,choro
accident,acidente
government,governo
eight,oito
fell,caiu
cover,cobrir
certain,certo
interested,interessado
deep,profundo
star,Estrela
sea,mar
agree,aceita
problems,problemas
detective,detetive
prison,prisão
major,maior
stick,grudar
offer,oferecer
difficult,difícil
smart,inteligente
personal,pessoal
record,registro
stopped,parou
hide,ocultar
whether,se
bank,banco
trip,viagem
relax,relaxar
america,América
public,público
list,Lista
afternoon,tarde
brain,cérebro
fix,fixar
bastard,Desgraçado
proud,orgulhoso
tea,chá
service,serviço
screaming,gritando
forward,frente
angry,Bravo
park,parque
soul,alma
fighting,brigando
peter,Pedro
rich,rico
agent,agente
blow,golpe
paul,Paulo
dress,vestido
mary,Mary
missed,esquecidas
scene,cena
killing,matando
standing,de pé
saved,salvou
mm,milímetros
respect,respeito
killer,assassino
ice,gelo
mess,bagunça
tough,resistente
feels,sentimentos
church,igreja
sad,triste
cell,célula
drunk,bêbado
share,compartilhar
camera,Câmera
mm-hmm,mm-hmm
within,dentro de
card,cartão
fly,mosca
ben,Ben
girlfriend,Namorada
laugh,riso
smell,cheiro
broken,partido
mum,mãe
honest,honesto
often,frequentemente
starting,iniciando
calls,chamadas
y,y
spent,gasto
third,terceiro
english,inglês
visit,Visita
mama,Mama
judge,juiz
window,janela
hungry,com fome
dare,Ouse
relationship,relação
moved,mudou-se
prove,provar
private,privado
wall,muro
seat,assento
i-i,eu-i
position,posição
lieutenant,tenente
realize,entender
lt,lt
especially,especialmente
machine,máquina
walking,andando
art,arte
pleasure,prazer
bloody,sangrento
college,faculdade
french,francês
involved,envolvido
cry,chore
became,tornou-se
lived,vivia
impossible,impossível
obviously,obviamente
neither,nem
accept,aceitar
boyfriend,namorado
besides,além do mais
queen,rainha
teacher,professora
cops,policiais
sake,interesse
loves,O amor é
carry,carregar
teach,Ensinar
apartment,apartamento
upset,chateado
green,verde
la,la
liked,apreciado
cute,fofa
evil,mal
professor,professor
contact,contato
joke,Piada
cop,policial
huge,imenso
holy,piedosos
store,loja
jail,cadeia
likes,curtidas
lawyer,advogado
doubt,dúvida
continue,Prosseguir
appreciate,apreciar
cat,gato
shop,fazer compras
driving,dirigindo
congratulations,Parabéns
wrote,escrevi
village,Vila
quit,Sair
field,campo
james,James
wine,vinho
decision,decisão
south,sul
sleeping,adormecido
slow,lento
laughter,risada
island,ilha
glass,vidro
beginning,começo
cash,dinheiro
dying,morrendo
hundred,centenas
whose,de quem
difference,diferença
plane,avião
push,Empurre
continues,continuou
mmm,mmm
singing,cantando
eating,comendo
north,norte
mrs,Sra
tree,árvore
madam,senhora
gift,Presente
truck,caminhão
putting,colocando
bear,urso
board,placa
grab,pegar
beer,Cerveja
stuck,grudou
magic,Magia
support,"Apoio, suporte"
rules,as regras
grunts,grunhidos
partner,parceiro
reach,alcançar
wind,vento
colonel,coronel
max,máx
immediately,imediatamente
seconds,segundos
thousand,mil
gives,dá
experience,experiência
cheers,Felicidades
victim,vítima
upon,sobre
computer,computador
christ,Cristo
planet,planeta
promised,prometido
bus,ônibus
henry,Henry
dirty,sujo
search,procurar
staying,ficando
dreams,sonhos
arrest,prender prisão
holding,contenção
suddenly,De repente
usually,geralmente
lots,grande quantidade
shoes,sapatos
er,er
jump,pular
rid,livrar
yo,yo
knock,bater
owe,dever
harry,atormentar
grow,crescer
worst,pior
river,rio
aunt,tia
patient,paciente
kitchen,cozinha
aah,aah
fat,gordura
passed,passado
m,m
final,final
summer,verão
bob,prumo
listening,audição
escape,fuga
everywhere,em toda parte
moon,lua
arms,braços
turns,curva
address,Morada
ow,ow
match,partida
gasps,Susps
grand,grande
yep,Sim
shh,shh
nervous,nervoso
de,de
choose,escolher
themselves,eles mesmos
decide,decidir
mate,amigo
drinking,bebendo
press,pressione
bother,irmão
foot,pé
hadn,tinha
blame,culpa
crap,porcaria
drugs,drogas
type,tipo
rings,argolas
mission,missão
named,nomeado
heaven,paraíso
ii,ii
picked,escolhido
paris,Paris
race,corrida
risk,risco
books,livros
further,mais longe
danny,Danny
action,ação
allowed,permitido
orders,ordens
learned,aprendido
price,preço
arrived,chegado
nick,usuario
otherwise,por outro lado
pictures,As fotos
fit,ajuste
smoke,fumaça
favor,Favor
played,reproduziu
notice,perceber
awesome,incrível
smile,sorrir
director,diretor
guard,guarda
begin,começar
spot,local
surprised,surpreso
innocent,inocente
narrator,narrador
herself,ela mesma
london,Londres
feelings,sentimentos
enemy,inimigo
battle,batalha
ourselves,nós mesmos
alex,Alex
dollars,dólares
allow,permitir
nine,nove
gay,gay
department,departamento
guilty,culpado
apart,separado
earlier,mais cedo
duty,dever
jim,Jim
suit,Traje
bell,Sino
west,Oeste
legs,pernas
hero,herói
destroy,destruir
stage,palco
bunch,monte
according,de acordo com
chicken,frango
bigger,Maior
grunting,grunhindo
low,baixo
helping,ajudando
admit,Admitem
closed,fechado
names,nomes
witness,testemunha
upstairs,lá em cima
arm,braço
steal,roubar
jimmy,Jimmy
kick,pontapé
twice,em dobro
cross,Cruz
ways,maneiras
sergeant,sargento
indeed,na verdade
gas,gás
keeping,guardando
energy,energia
pregnant,grávida
waste,desperdício
helped,ajudou
fired,disparamos
favorite,favorito
tony,Tony
taste,gosto
locked,trancado
places,locais
writing,escrevendo
adam,Adão
brothers,irmãos
starts,inicia
prince,Principe
form,Formato
sold,vendido
silly,boba
mention,menção
build,Construir
throat,garganta
hole,buraco
figured,figurado
track,acompanhar
ringing,toque
lock,trancar
leg,perna
above,acima de
hiding,se escondendo
steve,Steve
seemed,pareceu
breakfast,café da manhã
engine,motor
written,escrito
complete,completo
video,vídeo
applause,aplausos
however,Contudo
pressure,pressão
fresh,fresco
weapon,arma
sky,céu
ms.,EM.
stole,roubaram
study,estudar
burn,queimar
reading,lendo
crowd,multidão
treat,tratar
roll,lista
double,Duplo
spirit,espírito
danger,perigo
cost,custo
empty,vazio
level,nível
memory,memória
itself,em si
acting,atuando
interest,interesse
nose,nariz
plans,planos
following,Segue
bathroom,banheiro
built,construído
closer,mais próximo
ray,raio
sarah,Sarah
band,banda
groans,gemidos
apparently,pelo visto
excited,animado
richard,Richard
losing,perdendo
animals,animais
flight,voo
nature,natureza
raise,levantar
pop,pop
client,cliente
bomb,bombear
neck,pescoço
suspect,suspeito
warm,esquentar
extra,extra
bottle,garrafa
van,furgão
heavy,pesado
mommy,Mamãe
dogs,cães
wild,selvagem
ridiculous,ridículo
simply,simplesmente
lee,Lee
animal,animal
showed,mostrou
billy,Billy
shooting,tiroteio
keeps,mantém
camp,acampamento
guns,armas
medical,médico
shame,vergonha
hoping,na esperança
whom,a quem
bird,pássaro
majesty,majestade
flowers,flores
famous,famoso
asleep,dormindo
beauty,beleza
driver,condutor
keys,chaves
rain,chuva
awful,horrível
large,ampla
local,local
deserve,merecer
goddamn,Maldito
stone,pedra
jane,Jane
grace,graça
consider,considerar
weekend,final de semana
wondering,perguntando
lay,colocar
plenty,bastante
willing,disposto
pants,calça
sweetheart,amor
skin,pele
excellent,excelente
asshole,Idiota
beach,de praia
c,c
faith,fé
beg,implorar
fuckin,porra
responsible,responsável
military,militares
cheering,torcendo
opportunity,oportunidade
common,comum
bottom,inferior
german,alemão
whoever,quem quer que seja
cook,cozinheiro
walked,caminhou
papers,papéis
justice,justiça
hall,corredor
commander,comandante
drug,medicamento
main,a Principal
knife,faca
devil,diabo
necessary,necessário
although,Apesar
princess,Princesa
lights,luzes
flying,vôo
dick,Dick
rose,rosa
knowing,sabendo
clearly,claramente
hat,chapéu
agreed,concordou
johnny,Johnny
corner,canto
code,código
note,Nota
tommy,Tommy
due,devido
correct,correto
apologize,peça desculpas
language,Língua
stars,estrelas
faster,mais rápido
cars,carros
folks,pessoal
bullshit,besteira
i.,eu.
fellow,companheiro
several,de várias
grandma,Avó
shows,shows
leader,líder
leaves,folhas
restaurant,restaurante
east,leste
shouting,gritando
blind,cego
ghost,fantasma
cup,copo
gotten,pego
tight,justa
conversation,conversação
tells,diz
lies,mentiras
nor,nem
pulled,retirado
hanging,pendurado
speed,Rapidez
stories,histórias
health,saúde
advice,adendo
held,guardado
uh-huh,uh-huh
murdered,assassinado
beyond,além
rule,regra
hardly,dificilmente
possibly,possivelmente
inspector,Inspetor
cousin,prima
trial,tentativas
emergency,emergência
ought,deveria
eddie,Eddie
somehow,de alguma maneira
hearing,audição
states,estados
account,conta
spoke,falou
file,Arquivo
understood,Entendido
angel,anjo
tape,fita
milk,leite
powerful,poderoso
weapons,armas
practice,prática
manager,Gerente
pardon,perdão
vote,voto
jake,Jake
national,nacional
career,carreira
minister,ministro
super,super
taught,ensinado
robert,Robert
biggest,o maior
plays,tocam
natural,natural
dancing,dançando
copy,cópia de
plus,mais
martin,Martin
cake,bolo
freedom,liberdade
among,entre
breath,respiração
operation,Operação
chris,Chris
crew,equipe técnica
challenge,desafio
market,mercado
meat,eu no
towards,para
bringing,trazendo
dropped,derrubado
student,aluna
lied,mentiu
strength,força
size,Tamanho
breathe,respirar
color,cor
monster,monstro
loud,alto
photo,foto
aw,aw
nearly,por pouco
sight,visão
greatest,o melhor
games,Jogos
bridge,ponte
dressed,vestido
arrested,preso
horrible,horrível
coach,treinador
planning,planejamento
checked,verificado
breaking,quebra
noticed,percebido
fantastic,fantástico
screams,grita
serve,servir
ideas,Ideias
investigation,investigação
center,Centro
older,Mais velho
pack,pacote
soldiers,soldados
nonsense,Absurdo
doc,Doc
project,projeto
training,Treinamento
example,exemplo
trick,truque
prepared,preparado
science,Ciência
united,Unidos
travel,viagem
incredible,incrível
grandpa,Vovô
paying,pagando
character,personagem
teeth,dentes
criminal,Criminoso
charles,Charles
chinese,chinês
truly,verdadeiramente
honestly,honestamente
bro,Mano
survive,sobreviver
bobby,Bobby
target,alvo
feed,alimentar
nurse,enfermeira
e,e
fake,falso
records,registros
breathing,respirando
sweetie,querida
numbers,números
oil,óleo
suicide,suicídio
belong,pertencer
whoo,Whoo
perfectly,perfeitamente
amy,Amy
forgotten,esquecido
remain,permanecer
original,original
papa,Papa
onto,para
concerned,preocupado
credit,crédito
ugh,eca
invited,convidamos
discuss,discutir
research,pesquisa
easier,mais fácil
view,visualizar
chair,cadeira
hurts,machuca
strike,greve
roger,Roger
fill,preencher
condition,doença
mountain,montanha
dr,dr
nowhere,lugar algum
sheriff,xerife
kim,Kim
turning,girando
brown,Castanho
recognize,reconhecer
heads,cabeças
audience,público
all,todos
jealous,ciúmes
pretend,faz de conta
society,sociedade
finding,encontrando
shirt,camisa
comfortable,confortável
meaning,significado
guest,convidado
pieces,peças
dry,seco
letting,de locação
began,começasse
aye,Sim
jeff,Jeff
female,fêmea
release,liberar
ho,Ho
cards,cartões
pray,rezar
unfortunately,infelizmente
balls,bolas
destroyed,destruído
ended,terminou
universe,universo
prepare,preparar
opinion,opinião
movies,filmes
soldier,soldado
wash,lavagem
program,programa
heat,calor
usual,usual
ticket,bilhete
stolen,roubado
prefer,preferir
aware,consciente
surely,certamente
male,macho
base,base
matters,assuntos
lift,levantar
lab,laboratório
command,comando
proof,prova
cream,creme
selling,vendendo
believed,acreditava
create,Criar
h,h
afford,dispor
sunday,Domingo
total,total
dumb,idiota
threw,jogou
france,França
birth,aniversário
created,criado
realized,percebeu
british,britânico
noise,barulho
nuts,nozes
students,alunos
birds,pássaros
social,social
brilliant,brilhante
bodies,corpos
tie,amarrar
opened,aberto
ours,nosso
bucks,Bucks
kevin,Kevin
mister,senhor
ugly,feio
ryan,Ryan
focus,foco
dan,Dan
opens,abre
exist,existir
followed,seguido
england,Inglaterra
draw,desenhar
purpose,propósito
letters,cartas
daniel,Daniel
opening,abertura
bullet,bala
anna,Anna
lately,recentemente
stayed,fiquei
falling,queda
season,estação
ends,termina
suggest,sugerir
joy,alegria
distance,distância
responsibility,responsabilidade
whenever,sempre que
issue,emitir
thousands,milhares
process,processo
sword,espada
shower,banho
weak,fraco
fucked,Fodido
lonely,sozinho
happiness,felicidade
eric,Eric
tiny,muito pequeno
desk,mesa
pool,piscina
property,propriedade
forced,forçado
settle,resolver
indistinct,indistinto
weight,peso
received,recebido
gang,gangue
bite,mordida
friday,Sexta-feira
disappeared,desaparecido
interview,entrevista
expecting,esperando
kinda,tipo
surgery,cirurgia
horses,cavalos
mayor,prefeito
babe,bebê
ancient,antigo
handsome,jeitoso
saturday,sábado
staff,pessoal
lines,linhas
unit,unidade
fan,ventilador
gentleman,cavalheiro
introduce,introduzir
fate,destino
split,dividir
recently,recentemente
expected,esperado
add,adicionar
ordered,ordenado
slowly,lentamente
alarm,alarme
member,membro
slept,dormisse
signed,assinado
enter,digitar
spanish,espanhol
garden,jardim
brings,traz
brave,corajoso
pig,porco
model,modelo
finger,dedo
medicine,medicina
access,Acesso
failed,fracassado
flat,plano
easily,facilmente
discovered,descoberto
based,Sediada
screw,parafuso
insane,insano
cares,Cuidados
weather,clima
fingers,dedos
san,San
scott,Scott
path,caminho
soft,suave
harm,ferir
style,estilo
community,comunidade
sees,vê
basically,basicamente
signal,sinal
nope,Não
spare,poupar
speech,discurso
covered,abordado
shake,sacudir
loose,solto
snow,neve
russian,russo
lake,lago
bright,brilhante
roof,teto
sending,envio
paint,pintar
remind,lembrar
pal,amigo
naked,nu
post,publicar
sugar,açúcar
heading,cabeçalho
streets,ruas
damage,dano
silence,silêncio
doors,portas
success,sucesso
wet,molhado
amount,montante
members,membros
manage,gerir
safety,segurança
returned,retornou
harder,mais difíceis
block,quadra
showing,mostrando
fancy,chique
chef,chefe de cozinha
contract,contrato
dig,escavação
chest,peito
good-bye,adeus
drinks,bebidas
buried,enterrado
trade,troca
journey,jornada
stomach,estômago
changes,mudanças
details,detalhes
thoughts,pensamentos
divorce,divórcio
funeral,funeral
football,futebol americano
reality,realidade
theory,teoria
gosh,poxa
ruined,arruinado
gate,portão
spread,espalhar
japanese,japonês
sudden,de repente
coat,casaco
sooner,mais cedo
cheese,queijo
spring,primavera
page,página
ears,ouvidos
castle,castelo
hidden,escondido
storm,tempestade
personally,pessoalmente
artist,artista
hill,colina
exciting,emocionante
permission,permissão
expensive,caro
tickets,ingressos
forest,floresta
barely,por muito pouco
eggs,ovos
goin,entre
regret,arrependimento
lesson,lição
lover,amante
bread,pão
subject,sujeito
legal,jurídico
growing,crescente
ill,doente
mood,humor
owner,proprietário
caused,causado
beeping,biping
points,pontos
dating,namoro
loss,perda
secretary,secretário
revenge,vingança
santa,Papai Noel
likely,provável
rent,aluguel
connection,conexão
assistant,assistente
reasons,razões
yelling,gritando
painting,pintura
trees,árvores
doctors,médicos
rush,pressa
foreign,estrangeiro
rough,rude
murderer,assassino
century,século
nights,noites
pair,par
runs,corre
pocket,bolso
farm,Fazenda
matt,Matt
bike,bicicleta
obvious,óbvio
ate,comeu
grew,cresceu
professional,profissional
goodness,bondade
parts,peças
university,universidade
square,quadrado
grandfather,Vô
europe,Europa
genius,gênio
cases,casos
ruin,ruína
winter,inverno
tongue,língua
memories,recordações
buying,comprando
cancer,Câncer
clock,relógio
ocean,oceano
liar,mentiroso
tour,percorrer
thief,Ladrão
bleep,bip
rights,direitos
including,Incluindo
competition,concorrência
planned,planejado
boring,tedioso
victims,vítimas
mentioned,mencionado
bones,ossos
plant,plantar
bless,abençoar
warning,aviso
knocking,batendo
re,ré
crash,colidir
bedroom,quarto
lower,mais baixo
silver,prata
groaning,gemendo
madame,madame
defense,defesa
results,resultados
toilet,toalete
event,evento
complicated,complicado
shape,forma
priest,padre
royal,real
cheap,barato
romantic,romântico
downstairs,andar de baixo
invite,convidar
fortune,fortuna
tears,pranto
avoid,evitar
reached,alcançado
higher,mais alto
familiar,familiar
telephone,Telefone
burning,queimando
filled,preenchido
airport,aeroporto
jobs,empregos
grown,crescido
giant,gigante
insurance,seguro
woods,bosques
scare,susto
pleased,satisfeito
period,período
political,político
player,jogador
stops,parada
secrets,Segredos
laura,Laura
repeat,repita
photos,fotos
finds,achados
statement,declaração
suck,sugar
younger,mais jovem
china,China
humans,humanos
delicious,delicioso
particular,especial
proper,apropriado
rome,Roma
belongs,pertence
attacked,atacado
bath,banho
hired,contratado
site,local
knowledge,conhecimento
guests,convidados
celebrate,comemoro
map,mapa
horn,chifre
eventually,eventualmente
pity,pena
powers,poderes
ashamed,envergonhado
assume,presumir
glasses,óculos
